Provider,total_claim,total_revenue,avg_claim,unique_patients,first_claim,last_claim,active_days,claims_per_day,days_since_lastclaim,PotentialFraud,segment,visits_per_qtr,cost_of_visit,quaterly_cost
PRV51032,19,5000,263.1578947368421,17,2009-02-16,2009-12-17,304,0.0622950819672131,14,No,standard,1,200,200
PRV51035,16,1530,95.625,15,2009-01-04,2009-12-08,338,0.0471976401179941,23,No,standard,1,200,200
PRV51036,220,60500,275.0,112,2008-12-31,2009-12-30,364,0.6027397260273972,1,No,champion,6,1200,1200
PRV51037,332,103970,313.16265060240966,174,2008-12-28,2009-12-31,368,0.8997289972899729,0,Yes,champion,6,1200,1200
PRV51038,85,23990,282.2352941176471,65,2009-01-08,2009-12-30,356,0.238095238095238,1,No,champion,6,1200,1200
PRV51040,53,9250,174.52830188679246,47,2009-01-06,2009-12-30,358,0.1476323119777158,1,No,rising stars,4,800,800
PRV51041,23,2070,90.0,20,2009-01-01,2009-12-07,340,0.0674486803519061,24,No,standard,1,200,200
PRV51042,117,38690,330.6837606837607,105,2009-01-03,2009-12-18,349,0.3342857142857143,13,No,champion,6,1200,1200
PRV51043,18,3590,199.44444444444449,17,2009-02-05,2009-11-11,279,0.0642857142857142,50,No,standard,1,200,200
PRV51044,46,16940,368.2608695652174,32,2009-02-12,2009-12-29,320,0.1433021806853582,2,No,rising stars,4,800,800
PRV51045,21,4620,220.0,20,2009-02-12,2009-12-09,300,0.0697674418604651,22,No,standard,1,200,200
PRV51046,22,4870,221.36363636363637,17,2009-01-09,2009-12-08,333,0.0658682634730539,23,No,standard,1,200,200
PRV51047,7,1100,157.14285714285714,7,2009-04-21,2009-12-16,239,0.0291666666666666,15,No,standard,1,200,200
PRV51048,26,7390,284.2307692307692,24,2009-01-01,2009-12-12,345,0.0751445086705202,19,No,standard,1,200,200
PRV51049,49,11430,233.26530612244895,45,2008-12-30,2009-12-31,366,0.1335149863760218,0,No,rising stars,4,800,800
PRV51052,31,11580,373.5483870967742,27,2009-01-10,2009-12-29,353,0.0875706214689265,2,Yes,rising stars,4,800,800
PRV51054,39,8630,221.28205128205127,30,2009-01-08,2009-12-25,351,0.1107954545454545,6,No,rising stars,4,800,800
PRV51055,15,4640,309.3333333333333,15,2009-01-20,2009-12-28,342,0.0437317784256559,3,No,standard,1,200,200
PRV51056,18,6700,372.22222222222223,18,2009-02-23,2009-11-15,265,0.0676691729323308,46,No,standard,1,200,200
PRV51057,5,6830,1366.0,4,2009-03-19,2009-11-30,256,0.0194552529182879,31,No,standard,1,200,200
PRV51058,57,11240,197.19298245614036,56,2009-01-04,2009-12-28,358,0.1587743732590529,3,No,rising stars,4,800,800
PRV51059,57,18390,322.63157894736844,51,2009-01-01,2009-12-31,364,0.1561643835616438,0,Yes,rising stars,4,800,800
PRV51060,26,5620,216.15384615384616,26,2009-01-04,2009-12-12,342,0.075801749271137,19,No,standard,1,200,200
PRV51061,100,34800,348.0,49,2009-01-02,2009-12-31,363,0.2747252747252747,0,No,champion,6,1200,1200
PRV51062,294,92760,315.51020408163265,144,2008-12-22,2009-12-28,371,0.7903225806451613,3,No,champion,6,1200,1200
PRV51063,103,39690,385.3398058252427,88,2008-12-31,2009-12-27,361,0.2845303867403315,4,No,champion,6,1200,1200
PRV51064,203,63100,310.8374384236453,163,2008-12-19,2009-12-31,377,0.5370370370370371,0,Yes,champion,6,1200,1200
PRV51065,13,1480,113.84615384615384,12,2008-12-29,2009-12-19,355,0.0365168539325842,12,No,standard,1,200,200
PRV51066,14,5130,366.42857142857144,13,2009-01-14,2009-11-22,312,0.0447284345047923,39,No,standard,1,200,200
PRV51067,35,7120,203.42857142857144,30,2009-01-15,2009-11-26,315,0.110759493670886,35,Yes,standard,1,200,200
PRV51068,188,53230,283.13829787234044,159,2008-12-27,2009-12-29,367,0.5108695652173914,2,No,champion,6,1200,1200
PRV51070,63,10620,168.57142857142858,46,2008-12-31,2009-12-09,343,0.1831395348837209,22,No,standard,1,200,200
PRV51071,20,8280,414.0,20,2009-01-09,2009-12-23,348,0.0573065902578796,8,No,standard,1,200,200
PRV51072,160,35240,220.25,118,2009-01-01,2009-12-27,360,0.4432132963988919,4,No,champion,6,1200,1200
PRV51074,26,7280,280.0,26,2008-12-22,2009-12-26,369,0.0702702702702702,5,No,rising stars,4,800,800
PRV51075,14,5480,391.42857142857144,11,2009-02-26,2009-12-08,285,0.0489510489510489,23,No,standard,1,200,200
PRV51076,20,3520,176.0,18,2009-01-13,2009-12-17,338,0.0589970501474926,14,No,standard,1,200,200
PRV51077,15,5250,350.0,15,2009-01-20,2009-12-05,319,0.046875,26,Yes,standard,1,200,200
PRV51078,11,1910,173.63636363636363,11,2009-01-03,2009-08-16,225,0.0486725663716814,137,No,standard,1,200,200
PRV51081,149,36280,243.48993288590603,101,2008-12-25,2009-12-29,369,0.4027027027027027,2,No,champion,6,1200,1200
PRV51082,25,4740,189.6,23,2009-01-13,2009-12-14,335,0.0744047619047619,17,No,standard,1,200,200
PRV51083,63,13380,212.3809523809524,59,2009-01-16,2009-12-31,349,0.18,0,No,rising stars,4,800,800
PRV51084,67,19290,287.910447761194,52,2009-01-06,2009-12-19,347,0.1925287356321839,12,Yes,rising stars,4,800,800
PRV51086,84,30770,366.3095238095238,69,2009-01-01,2009-12-24,357,0.2346368715083799,7,No,champion,6,1200,1200
PRV51089,172,39740,231.04651162790697,148,2009-01-02,2009-12-25,357,0.4804469273743016,6,No,champion,6,1200,1200
PRV51090,6,5790,965.0,6,2009-03-27,2009-10-13,200,0.0298507462686567,79,No,standard,1,200,200
PRV51091,38,7980,210.0,38,2009-01-04,2009-12-26,356,0.1064425770308123,5,No,rising stars,4,800,800
PRV51093,4,2520,630.0,4,2009-03-20,2009-10-01,195,0.0204081632653061,91,No,standard,1,200,200
PRV51096,4,1100,275.0,4,2009-01-05,2009-09-12,250,0.0159362549800796,110,No,standard,1,200,200
PRV51097,96,33160,345.4166666666667,62,2008-12-14,2009-12-30,381,0.2513089005235602,1,No,champion,6,1200,1200
PRV51098,4,300,75.0,4,2009-05-19,2009-10-14,148,0.0268456375838926,78,No,standard,1,200,200
PRV51103,5,360,72.0,4,2009-04-03,2009-12-20,261,0.0190839694656488,11,Yes,standard,1,200,200
PRV51104,8,1060,132.5,7,2009-01-01,2009-09-11,253,0.0314960629921259,111,No,standard,1,200,200
PRV51105,10,4730,473.0,10,2009-01-01,2009-10-24,296,0.0336700336700336,68,No,standard,1,200,200
PRV51111,98,44290,451.9387755102041,71,2009-01-12,2009-12-28,350,0.2792022792022792,3,No,champion,6,1200,1200
PRV51112,238,77470,325.5042016806723,165,2009-01-01,2009-12-29,362,0.6556473829201102,2,No,champion,6,1200,1200
PRV51113,94,32840,349.36170212765956,61,2008-12-30,2009-12-31,366,0.2561307901907357,0,No,champion,6,1200,1200
PRV51114,192,60480,315.0,131,2008-12-26,2009-12-29,368,0.5203252032520326,2,No,champion,6,1200,1200
PRV51115,5,880,176.0,5,2009-02-22,2009-08-25,184,0.027027027027027,128,No,standard,1,200,200
PRV51117,8,380,47.5,8,2009-03-02,2009-11-22,265,0.0300751879699248,39,No,standard,1,200,200
PRV51119,1,95580,95580.0,1,2008-12-15,2008-12-15,0,1.0,381,Yes,dormant gaints,1,200,200
PRV51121,1,80,80.0,1,2009-10-23,2009-10-23,0,1.0,69,No,standard,1,200,200
PRV51122,5,710,142.0,5,2009-01-12,2009-11-06,298,0.0167224080267558,55,No,standard,1,200,200
PRV51123,19,10710,563.6842105263158,19,2009-02-28,2009-12-27,302,0.0627062706270627,4,No,standard,1,200,200
PRV51125,27,12790,473.7037037037037,18,2009-01-01,2009-12-21,354,0.076056338028169,10,No,rising stars,4,800,800
PRV51128,40,11920,298.0,34,2008-12-14,2009-12-15,366,0.108991825613079,16,No,standard,1,200,200
PRV51129,72,19500,270.8333333333333,51,2009-01-06,2009-12-30,358,0.2005571030640668,1,No,rising stars,4,800,800
PRV51130,7,4970,710.0,7,2009-01-20,2009-08-15,207,0.0336538461538461,138,No,standard,1,200,200
PRV51131,6,1150,191.66666666666663,6,2009-01-09,2009-12-01,326,0.018348623853211,30,No,standard,1,200,200
PRV51132,6,1330,221.66666666666663,5,2009-05-01,2009-11-18,201,0.0297029702970297,43,No,standard,1,200,200
PRV51134,8,5620,702.5,6,2009-01-28,2009-12-11,317,0.0251572327044025,20,No,standard,1,200,200
PRV51135,4,220,55.0,2,2009-01-05,2009-08-25,232,0.0171673819742489,128,No,standard,1,200,200
PRV51137,38,9110,239.73684210526315,37,2009-01-09,2009-12-28,353,0.1073446327683615,3,No,rising stars,4,800,800
PRV51138,18,7090,393.8888888888889,15,2009-01-01,2009-12-01,334,0.053731343283582,30,No,standard,1,200,200
PRV51139,28,7590,271.07142857142856,27,2009-01-08,2009-12-31,357,0.0782122905027933,0,No,rising stars,4,800,800
PRV51140,327,120810,369.44954128440367,279,2008-12-28,2009-12-31,368,0.8861788617886179,0,No,champion,6,1200,1200
PRV51141,57,18550,325.43859649122805,32,2009-01-19,2009-12-08,323,0.1759259259259259,23,No,standard,1,200,200
PRV51142,37,7190,194.32432432432432,29,2008-12-25,2009-12-24,364,0.1013698630136986,7,No,rising stars,4,800,800
PRV51143,48,16630,346.4583333333333,44,2008-12-26,2009-12-09,348,0.1375358166189111,22,No,standard,1,200,200
PRV51144,20,7480,374.0,19,2009-01-12,2009-11-26,318,0.0626959247648902,35,No,standard,1,200,200
PRV51145,33,5140,155.75757575757575,32,2009-01-03,2009-11-18,319,0.103125,43,Yes,standard,1,200,200
PRV51146,136,45280,332.94117647058823,128,2009-01-01,2009-12-31,364,0.3726027397260274,0,Yes,champion,6,1200,1200
PRV51147,20,8010,400.5,20,2009-02-01,2009-12-24,326,0.0611620795107033,7,No,standard,1,200,200
PRV51148,231,71160,308.05194805194805,187,2008-12-16,2009-12-26,375,0.6143617021276596,5,Yes,champion,6,1200,1200
PRV51149,28,4950,176.78571428571428,24,2009-02-15,2009-12-18,306,0.0912052117263843,13,Yes,standard,1,200,200
PRV51151,161,50360,312.7950310559006,157,2009-01-05,2009-12-30,359,0.4472222222222222,1,No,champion,6,1200,1200
PRV51152,62,21800,351.61290322580646,33,2008-12-23,2009-12-26,368,0.1680216802168021,5,No,rising stars,4,800,800
PRV51153,65,19570,301.0769230769231,61,2009-01-08,2009-12-23,349,0.1857142857142857,8,No,rising stars,4,800,800
PRV51154,120,37850,315.4166666666667,113,2009-01-09,2009-12-30,355,0.3370786516853932,1,No,champion,6,1200,1200
PRV51155,89,23470,263.70786516853934,86,2009-01-01,2009-12-26,359,0.2472222222222222,5,No,champion,6,1200,1200
PRV51156,417,100720,241.5347721822542,352,2009-01-03,2009-12-31,362,1.1487603305785123,0,No,champion,6,1200,1200
PRV51159,380,128970,339.39473684210526,346,2008-12-29,2009-12-31,367,1.0326086956521738,0,Yes,champion,6,1200,1200
PRV51160,21,5880,280.0,21,2008-12-20,2009-12-19,364,0.0575342465753424,12,No,standard,1,200,200
PRV51164,265,93740,353.7358490566038,231,2009-01-01,2009-12-23,356,0.742296918767507,8,No,champion,6,1200,1200
PRV51165,55,21800,396.3636363636364,54,2009-01-04,2009-12-28,358,0.1532033426183844,3,No,rising stars,4,800,800
PRV51166,1,70,70.0,1,2009-07-06,2009-07-06,0,1.0,178,No,standard,1,200,200
PRV51167,144,43840,304.44444444444446,140,2009-01-02,2009-12-30,362,0.396694214876033,1,No,champion,6,1200,1200
PRV51168,52,12670,243.65384615384616,52,2009-01-14,2009-12-16,336,0.1543026706231454,15,No,standard,1,200,200
PRV51169,57,12740,223.50877192982455,56,2009-01-06,2009-12-29,357,0.159217877094972,2,No,rising stars,4,800,800
PRV51170,7,820,117.14285714285714,7,2009-02-12,2009-11-23,284,0.0245614035087719,38,Yes,standard,1,200,200
PRV51171,43,8520,198.13953488372093,43,2009-01-06,2009-12-27,355,0.1207865168539325,4,No,rising stars,4,800,800
PRV51173,13,4190,322.3076923076923,13,2009-01-13,2009-12-19,340,0.0381231671554252,12,Yes,standard,1,200,200
PRV51175,35,7370,210.57142857142856,33,2009-01-07,2009-12-19,346,0.100864553314121,12,No,rising stars,4,800,800
PRV51176,322,91800,285.09316770186336,294,2008-12-25,2009-12-28,368,0.8726287262872628,3,No,champion,6,1200,1200
PRV51178,21,7250,345.23809523809524,21,2009-01-02,2009-12-23,355,0.0589887640449438,8,Yes,standard,1,200,200
PRV51179,21,3740,178.0952380952381,21,2009-01-02,2009-12-23,355,0.0589887640449438,8,No,standard,1,200,200
PRV51180,100,34030,340.3,68,2009-01-03,2009-12-29,360,0.2770083102493075,2,No,champion,6,1200,1200
PRV51181,7,1820,260.0,7,2009-02-19,2009-12-25,309,0.0225806451612903,6,No,standard,1,200,200
PRV51183,53,15820,298.49056603773585,49,2009-01-01,2009-12-12,345,0.1531791907514451,19,No,standard,1,200,200
PRV51185,7,1090,155.71428571428572,7,2009-04-15,2009-11-04,203,0.034313725490196,57,No,standard,1,200,200
PRV51186,1,50,50.0,1,2009-01-18,2009-01-18,0,1.0,347,No,standard,1,200,200
PRV51189,41,7290,177.8048780487805,37,2009-01-16,2009-12-31,349,0.1171428571428571,0,No,rising stars,4,800,800
PRV51190,46,13940,303.04347826086956,46,2009-01-26,2009-12-14,322,0.1424148606811145,17,No,standard,1,200,200
PRV51191,24,10190,424.5833333333333,23,2009-01-20,2009-12-27,341,0.0701754385964912,4,No,standard,1,200,200
PRV51194,5,480,96.0,5,2009-02-11,2009-10-12,243,0.0204918032786885,80,No,standard,1,200,200
PRV51196,565,147490,261.04424778761063,358,2008-12-28,2009-12-31,368,1.5311653116531163,0,No,champion,6,1200,1200
PRV51198,3,220,73.33333333333333,2,2009-06-24,2009-12-11,170,0.0175438596491228,20,No,standard,1,200,200
PRV51200,15,4050,270.0,13,2009-04-05,2009-12-19,258,0.0579150579150579,12,No,standard,1,200,200
PRV51201,34,6620,194.7058823529412,31,2009-01-10,2009-12-31,355,0.095505617977528,0,No,standard,1,200,200
PRV51202,7,1870,267.14285714285717,7,2009-03-12,2009-11-18,251,0.0277777777777777,43,No,standard,1,200,200
PRV51203,12,11890,990.8333333333334,12,2009-01-29,2009-12-26,331,0.036144578313253,5,No,standard,1,200,200
PRV51204,369,111970,303.44173441734415,316,2008-12-18,2009-12-30,377,0.9761904761904762,1,No,champion,6,1200,1200
PRV51205,6,1180,196.66666666666663,6,2009-02-03,2009-12-25,325,0.0184049079754601,6,No,standard,1,200,200
PRV51206,10,1560,156.0,10,2009-01-05,2009-12-28,357,0.0279329608938547,3,No,standard,1,200,200
PRV51209,30,8990,299.6666666666667,27,2009-01-03,2009-12-19,350,0.0854700854700854,12,No,rising stars,4,800,800
PRV51210,8,2830,353.75,8,2009-02-04,2009-12-06,305,0.0261437908496732,25,No,standard,1,200,200
PRV51211,1,100,100.0,1,2009-04-18,2009-04-18,0,1.0,257,No,standard,1,200,200
PRV51212,13,2760,212.30769230769232,13,2009-01-01,2009-11-14,317,0.040880503144654,47,No,standard,1,200,200
PRV51214,6,3100,516.6666666666666,6,2009-03-03,2009-12-14,286,0.0209059233449477,17,No,standard,1,200,200
PRV51215,6,1210,201.66666666666663,6,2009-02-20,2009-10-24,246,0.0242914979757085,68,No,standard,1,200,200
PRV51216,49,9860,201.22448979591837,46,2008-12-25,2009-12-31,371,0.1317204301075268,0,No,rising stars,4,800,800
PRV51217,4,830,207.5,4,2009-03-04,2009-12-25,296,0.0134680134680134,6,No,standard,1,200,200
PRV51218,6,500,83.33333333333333,6,2009-02-01,2009-10-09,250,0.0239043824701195,83,No,standard,1,200,200
PRV51219,7,5030,718.5714285714286,7,2009-01-19,2009-07-14,176,0.03954802259887,170,No,standard,1,200,200
PRV51221,1,70,70.0,1,2009-03-11,2009-03-11,0,1.0,295,No,standard,1,200,200
PRV51222,5,860,172.0,3,2009-07-23,2009-12-04,134,0.037037037037037,27,No,standard,1,200,200
PRV51224,6,3100,516.6666666666666,6,2009-01-19,2009-12-13,328,0.0182370820668693,18,No,standard,1,200,200
PRV51225,6,790,131.66666666666666,6,2009-01-13,2009-12-02,323,0.0185185185185185,29,No,standard,1,200,200
PRV51226,14,4940,352.85714285714283,13,2009-02-06,2009-12-04,301,0.0463576158940397,27,No,standard,1,200,200
PRV51228,4,430,107.5,4,2009-02-03,2009-04-18,74,0.0533333333333333,257,No,standard,1,200,200
PRV51229,39,11160,286.15384615384613,38,2009-01-02,2009-12-30,362,0.1074380165289256,1,No,rising stars,4,800,800
PRV51230,22,9800,445.45454545454544,22,2009-01-05,2009-11-28,327,0.0670731707317073,33,No,standard,1,200,200
PRV51240,36,8370,232.5,25,2009-01-17,2009-12-27,344,0.1043478260869565,4,No,rising stars,4,800,800
PRV51241,37,10890,294.3243243243243,31,2009-01-01,2009-12-15,348,0.1060171919770773,16,No,standard,1,200,200
PRV51242,66,24260,367.5757575757576,55,2009-01-06,2009-12-29,357,0.1843575418994413,2,Yes,rising stars,4,800,800
PRV51243,26,3090,118.84615384615384,11,2009-01-09,2009-12-29,354,0.0732394366197183,2,No,standard,1,200,200
PRV51244,932,240350,257.8862660944206,503,2008-12-29,2009-12-31,367,2.532608695652174,0,Yes,champion,6,1200,1200
PRV51245,124,45070,363.46774193548384,46,2008-12-19,2009-12-31,377,0.328042328042328,0,No,champion,6,1200,1200
PRV51247,18,1980,110.0,14,2009-01-17,2009-11-20,307,0.0584415584415584,41,No,standard,1,200,200
PRV51248,1,500,500.0,1,2009-04-28,2009-04-28,0,1.0,247,No,standard,1,200,200
PRV51249,53,13860,261.50943396226415,48,2008-12-31,2009-12-17,351,0.1505681818181818,14,Yes,rising stars,4,800,800
PRV51250,71,15900,223.94366197183095,59,2009-01-03,2009-12-26,357,0.1983240223463687,5,No,rising stars,4,800,800
PRV51251,10,3590,359.0,10,2009-01-12,2009-11-18,310,0.0321543408360128,43,No,standard,1,200,200
PRV51252,51,10780,211.37254901960785,48,2009-01-10,2009-12-29,353,0.1440677966101695,2,No,rising stars,4,800,800
PRV51253,69,13460,195.0724637681159,63,2009-01-06,2009-12-26,354,0.1943661971830985,5,No,rising stars,4,800,800
PRV51255,58,26350,454.3103448275862,51,2009-02-04,2009-12-11,310,0.1864951768488746,20,No,standard,1,200,200
PRV51256,70,20200,288.57142857142856,62,2008-12-19,2009-12-22,368,0.1897018970189702,9,No,champion,6,1200,1200
PRV51258,5,1260,252.0,5,2009-02-18,2009-12-11,296,0.0168350168350168,20,No,standard,1,200,200
PRV51259,14,1470,105.0,13,2009-03-22,2009-12-05,258,0.054054054054054,26,No,standard,1,200,200
PRV51260,42,13610,324.04761904761904,37,2009-01-10,2009-12-28,352,0.1189801699716713,3,No,rising stars,4,800,800
PRV51261,89,13110,147.3033707865169,81,2009-01-01,2009-12-26,359,0.2472222222222222,5,No,rising stars,4,800,800
PRV51262,46,11660,253.4782608695652,42,2009-01-05,2009-12-22,351,0.1306818181818181,9,No,rising stars,4,800,800
PRV51263,20,7790,389.5,20,2009-01-21,2009-12-31,344,0.0579710144927536,0,Yes,standard,1,200,200
PRV51264,31,4630,149.3548387096774,28,2008-12-12,2009-12-16,369,0.0837837837837837,15,No,standard,1,200,200
PRV51265,122,36010,295.1639344262295,71,2009-01-05,2009-12-28,357,0.3407821229050279,3,No,champion,6,1200,1200
PRV51266,63,17420,276.5079365079365,59,2009-01-02,2009-12-24,356,0.1764705882352941,7,No,rising stars,4,800,800
PRV51267,10,3710,371.0,10,2009-01-25,2009-12-17,326,0.0305810397553516,14,No,standard,1,200,200
PRV51271,94,22080,234.89361702127655,71,2009-01-03,2009-12-31,362,0.2589531680440771,0,No,champion,6,1200,1200
PRV51272,59,17020,288.47457627118644,25,2009-01-08,2009-12-25,351,0.1676136363636363,6,No,rising stars,4,800,800
PRV51273,418,98220,234.97607655502392,312,2009-01-01,2009-12-31,364,1.1452054794520548,0,No,champion,6,1200,1200
PRV51274,34,8960,263.52941176470586,28,2009-01-13,2009-12-26,347,0.0977011494252873,5,No,rising stars,4,800,800
PRV51276,39,13920,356.9230769230769,36,2009-01-25,2009-12-15,324,0.12,16,No,standard,1,200,200
PRV51277,39,16360,419.4871794871795,38,2009-01-27,2009-12-27,334,0.1164179104477611,4,No,rising stars,4,800,800
PRV51279,175,54580,311.8857142857143,150,2008-12-31,2009-12-24,358,0.4874651810584958,7,No,champion,6,1200,1200
PRV51280,33,17320,524.8484848484849,29,2009-01-04,2009-12-22,352,0.093484419263456,9,No,rising stars,4,800,800
PRV51281,201,75520,375.7213930348259,164,2009-01-03,2009-12-30,361,0.5552486187845304,1,No,champion,6,1200,1200
PRV51282,38,10790,283.94736842105266,34,2009-01-01,2009-12-23,356,0.1064425770308123,8,No,rising stars,4,800,800
PRV51284,271,77290,285.2029520295203,186,2008-12-20,2009-12-31,376,0.7188328912466844,0,No,champion,6,1200,1200
PRV51285,111,29450,265.31531531531533,73,2009-01-08,2009-12-30,356,0.3109243697478991,1,No,champion,6,1200,1200
PRV51286,42,7050,167.85714285714286,39,2009-01-04,2009-12-25,355,0.1179775280898876,6,No,standard,1,200,200
PRV51287,62,16650,268.5483870967742,40,2009-01-07,2009-12-24,351,0.1761363636363636,7,No,rising stars,4,800,800
PRV51288,3,220,73.33333333333333,3,2008-12-31,2009-05-22,142,0.0209790209790209,223,No,standard,1,200,200
PRV51289,67,26860,400.8955223880597,32,2008-12-18,2009-12-31,378,0.1767810026385224,0,No,champion,6,1200,1200
PRV51290,91,13420,147.47252747252747,72,2008-12-24,2009-12-31,372,0.2439678284182305,0,No,rising stars,4,800,800
PRV51292,20,3300,165.0,15,2009-01-13,2009-12-02,323,0.0617283950617283,29,No,standard,1,200,200
PRV51293,71,17280,243.38028169014083,54,2009-01-03,2009-12-30,361,0.1961325966850828,1,No,rising stars,4,800,800
PRV51295,6,1950,325.0,5,2009-02-01,2009-10-25,266,0.0224719101123595,67,No,standard,1,200,200
PRV51296,22,5480,249.0909090909091,20,2009-01-30,2009-12-14,318,0.0689655172413793,17,No,standard,1,200,200
PRV51297,48,17800,370.8333333333333,33,2009-01-07,2009-12-25,352,0.1359773371104816,6,No,rising stars,4,800,800
PRV51298,75,28030,373.73333333333335,45,2008-12-18,2009-12-26,373,0.2005347593582887,5,No,champion,6,1200,1200
PRV51299,27,5320,197.03703703703704,21,2009-01-20,2009-12-26,340,0.0791788856304985,5,No,standard,1,200,200
PRV51300,36,14120,392.22222222222223,25,2009-01-08,2009-12-02,328,0.1094224924012158,29,No,standard,1,200,200
PRV51301,77,24170,313.8961038961039,49,2009-01-03,2009-12-29,360,0.2132963988919667,2,No,champion,6,1200,1200
PRV51302,26,4260,163.84615384615384,19,2009-01-01,2009-12-14,347,0.0747126436781609,17,No,standard,1,200,200
PRV51303,75,31440,419.2,41,2009-01-02,2009-12-31,363,0.206043956043956,0,No,champion,6,1200,1200
PRV51304,38,10230,269.2105263157895,30,2009-01-09,2009-12-29,354,0.1070422535211267,2,No,rising stars,4,800,800
PRV51305,31,14670,473.2258064516129,18,2009-01-06,2009-12-26,354,0.0873239436619718,5,No,rising stars,4,800,800
PRV51306,9,2100,233.33333333333337,8,2009-02-06,2009-12-31,328,0.0273556231003039,0,No,standard,1,200,200
PRV51307,26,6330,243.46153846153845,17,2009-01-08,2009-12-28,354,0.0732394366197183,3,No,standard,1,200,200
PRV51308,27,11720,434.0740740740741,25,2009-01-02,2009-12-28,360,0.074792243767313,3,No,rising stars,4,800,800
PRV51309,16,3670,229.375,15,2009-01-21,2009-12-19,332,0.048048048048048,12,No,standard,1,200,200
PRV51311,17,2810,165.2941176470588,14,2008-12-12,2009-11-30,353,0.0480225988700565,31,No,standard,1,200,200
PRV51312,29,5410,186.55172413793105,22,2009-01-02,2009-12-28,360,0.0803324099722991,3,No,standard,1,200,200
PRV51313,15,3370,224.66666666666663,13,2009-01-28,2009-12-03,309,0.0483870967741935,28,No,standard,1,200,200
PRV51314,19,4600,242.1052631578947,13,2009-01-25,2009-12-21,330,0.0574018126888217,10,No,standard,1,200,200
PRV51315,34,6040,177.64705882352942,15,2009-01-31,2009-12-04,307,0.1103896103896103,27,No,standard,1,200,200
PRV51322,9,790,87.77777777777777,8,2009-02-16,2009-10-11,237,0.0378151260504201,81,No,standard,1,200,200
PRV51323,57,17920,314.3859649122807,27,2009-01-21,2009-12-31,344,0.1652173913043478,0,No,rising stars,4,800,800
PRV51324,24,9220,384.1666666666667,21,2009-01-08,2009-12-29,355,0.0674157303370786,2,No,standard,1,200,200
PRV51325,9,4200,466.6666666666667,5,2009-04-11,2009-12-31,264,0.0339622641509433,0,No,standard,1,200,200
PRV51326,31,9950,320.96774193548384,18,2009-01-02,2009-12-30,362,0.0853994490358126,1,No,rising stars,4,800,800
PRV51327,35,7850,224.28571428571428,23,2009-01-01,2009-12-31,364,0.0958904109589041,0,No,rising stars,4,800,800
PRV51328,6,550,91.66666666666669,5,2009-01-30,2009-12-17,321,0.0186335403726708,14,No,standard,1,200,200
