Provider,total_claim,total_revenue,avg_claim,unique_patients,first_claim,last_claim,active_days,claims_per_day,days_since_lastclaim,PotentialFraud
PRV51081,149,36280,243.48993288590603,101,2008-12-25,2009-12-29,369,0.4027027027027027,2,No
PRV51082,25,4740,189.6,23,2009-01-13,2009-12-14,335,0.0744047619047619,17,No
PRV51083,63,13380,212.38095238095238,59,2009-01-16,2009-12-31,349,0.18,0,No
PRV51084,67,19290,287.910447761194,52,2009-01-06,2009-12-19,347,0.1925287356321839,12,Yes
PRV51086,84,30770,366.3095238095238,69,2009-01-01,2009-12-24,357,0.2346368715083799,7,No
PRV51089,172,39740,231.04651162790697,148,2009-01-02,2009-12-25,357,0.48044692737430167,6,No
PRV51090,6,5790,965.0,6,2009-03-27,2009-10-13,200,0.029850746268656716,79,No
PRV51091,38,7980,210.0,38,2009-01-04,2009-12-26,356,0.10644257703081232,5,No
PRV51093,4,2520,630.0,4,2009-03-20,2009-10-01,195,0.02040816326530612,91,No
PRV51096,4,1100,275.0,4,2009-01-05,2009-09-12,250,0.01593625498007968,110,No
PRV51097,96,33160,345.4166666666667,62,2008-12-14,2009-12-30,381,0.2513089005235602,1,No
PRV51098,4,300,75.0,4,2009-05-19,2009-10-14,148,0.026845637583892617,78,No
PRV51103,5,360,72.0,4,2009-04-03,2009-12-20,261,0.019083969465648856,11,Yes
PRV51104,8,1060,132.5,7,2009-01-01,2009-09-11,253,0.031496062992125984,111,No
PRV51105,10,4730,473.0,10,2009-01-01,2009-10-24,296,0.03367003367003367,68,No
PRV51111,98,44290,451.9387755102041,71,2009-01-12,2009-12-28,350,0.2792022792022792,3,No
PRV51112,238,77470,325.5042016806723,165,2009-01-01,2009-12-29,362,0.6556473829201102,2,No
PRV51113,94,32840,349.36170212765956,61,2008-12-30,2009-12-31,366,0.2561307901907357,0,No
PRV51114,192,60480,315.0,131,2008-12-26,2009-12-29,368,0.5203252032520326,2,No
PRV51115,5,880,176.0,5,2009-02-22,2009-08-25,184,0.02702702702702703,128,No
PRV51117,8,380,47.5,8,2009-03-02,2009-11-22,265,0.03007518796992481,39,No
PRV51119,1,95580,95580.0,1,2008-12-15,2008-12-15,0,1.0,381,Yes
PRV51121,1,80,80.0,1,2009-10-23,2009-10-23,0,1.0,69,No
PRV51122,5,710,142.0,5,2009-01-12,2009-11-06,298,0.016722408026755852,55,No
PRV51123,19,10710,563.6842105263158,19,2009-02-28,2009-12-27,302,0.0627062706270627,4,No
PRV51125,27,12790,473.7037037037037,18,2009-01-01,2009-12-21,354,0.07605633802816901,10,No
PRV51128,40,11920,298.0,34,2008-12-14,2009-12-15,366,0.10899182561307902,16,No
PRV51129,72,19500,270.8333333333333,51,2009-01-06,2009-12-30,358,0.20055710306406685,1,No
PRV51130,7,4970,710.0,7,2009-01-20,2009-08-15,207,0.03365384615384615,138,No
PRV51131,6,1150,191.66666666666666,6,2009-01-09,2009-12-01,326,0.01834862385321101,30,No
PRV51132,6,1330,221.66666666666666,5,2009-05-01,2009-11-18,201,0.0297029702970297,43,No
PRV51134,8,5620,702.5,6,2009-01-28,2009-12-11,317,0.025157232704402517,20,No
PRV51135,4,220,55.0,2,2009-01-05,2009-08-25,232,0.017167381974248927,128,No
PRV51137,38,9110,239.73684210526315,37,2009-01-09,2009-12-28,353,0.10734463276836158,3,No
PRV51138,18,7090,393.8888888888889,15,2009-01-01,2009-12-01,334,0.05373134328358209,30,No
PRV51139,28,7590,271.07142857142856,27,2009-01-08,2009-12-31,357,0.0782122905027933,0,No
PRV51140,327,120810,369.44954128440367,279,2008-12-28,2009-12-31,368,0.8861788617886179,0,No
PRV51141,57,18550,325.43859649122805,32,2009-01-19,2009-12-08,323,0.17592592592592593,23,No
PRV51142,37,7190,194.32432432432432,29,2008-12-25,2009-12-24,364,0.10136986301369863,7,No
PRV51143,48,16630,346.4583333333333,44,2008-12-26,2009-12-09,348,0.13753581661891118,22,No
PRV51144,20,7480,374.0,19,2009-01-12,2009-11-26,318,0.06269592476489028,35,No
PRV51145,33,5140,155.75757575757575,32,2009-01-03,2009-11-18,319,0.103125,43,Yes
PRV51146,136,45280,332.94117647058823,128,2009-01-01,2009-12-31,364,0.3726027397260274,0,Yes
PRV51147,20,8010,400.5,20,2009-02-01,2009-12-24,326,0.06116207951070336,7,No
PRV51148,231,71160,308.05194805194805,187,2008-12-16,2009-12-26,375,0.6143617021276596,5,Yes
PRV51149,28,4950,176.78571428571428,24,2009-02-15,2009-12-18,306,0.09120521172638436,13,Yes
PRV51151,161,50360,312.7950310559006,157,2009-01-05,2009-12-30,359,0.44722222222222224,1,No
PRV51152,62,21800,351.61290322580646,33,2008-12-23,2009-12-26,368,0.16802168021680217,5,No
PRV51153,65,19570,301.0769230769231,61,2009-01-08,2009-12-23,349,0.18571428571428572,8,No
PRV51154,120,37850,315.4166666666667,113,2009-01-09,2009-12-30,355,0.33707865168539325,1,No
PRV51155,89,23470,263.70786516853934,86,2009-01-01,2009-12-26,359,0.24722222222222223,5,No
PRV51156,417,100720,241.5347721822542,352,2009-01-03,2009-12-31,362,1.1487603305785123,0,No
PRV51159,380,128970,339.39473684210526,346,2008-12-29,2009-12-31,367,1.0326086956521738,0,Yes
PRV51160,21,5880,280.0,21,2008-12-20,2009-12-19,364,0.057534246575342465,12,No
PRV51164,265,93740,353.7358490566038,231,2009-01-01,2009-12-23,356,0.742296918767507,8,No
PRV51165,55,21800,396.3636363636364,54,2009-01-04,2009-12-28,358,0.1532033426183844,3,No
PRV51166,1,70,70.0,1,2009-07-06,2009-07-06,0,1.0,178,No
PRV51167,144,43840,304.44444444444446,140,2009-01-02,2009-12-30,362,0.39669421487603307,1,No
PRV51168,52,12670,243.65384615384616,52,2009-01-14,2009-12-16,336,0.1543026706231454,15,No
PRV51169,57,12740,223.50877192982455,56,2009-01-06,2009-12-29,357,0.15921787709497207,2,No
PRV51170,7,820,117.14285714285714,7,2009-02-12,2009-11-23,284,0.02456140350877193,38,Yes
PRV51171,43,8520,198.13953488372093,43,2009-01-06,2009-12-27,355,0.12078651685393259,4,No
PRV51173,13,4190,322.3076923076923,13,2009-01-13,2009-12-19,340,0.03812316715542522,12,Yes
PRV51175,35,7370,210.57142857142858,33,2009-01-07,2009-12-19,346,0.10086455331412104,12,No
PRV51176,322,91800,285.09316770186336,294,2008-12-25,2009-12-28,368,0.8726287262872628,3,No
PRV51178,21,7250,345.23809523809524,21,2009-01-02,2009-12-23,355,0.05898876404494382,8,Yes
PRV51179,21,3740,178.0952380952381,21,2009-01-02,2009-12-23,355,0.05898876404494382,8,No
PRV51180,100,34030,340.3,68,2009-01-03,2009-12-29,360,0.2770083102493075,2,No
PRV51181,7,1820,260.0,7,2009-02-19,2009-12-25,309,0.02258064516129032,6,No
PRV51183,53,15820,298.49056603773585,49,2009-01-01,2009-12-12,345,0.1531791907514451,19,No
PRV51185,7,1090,155.71428571428572,7,2009-04-15,2009-11-04,203,0.03431372549019608,57,No
PRV51186,1,50,50.0,1,2009-01-18,2009-01-18,0,1.0,347,No
PRV51189,41,7290,177.8048780487805,37,2009-01-16,2009-12-31,349,0.11714285714285715,0,No
PRV51190,46,13940,303.04347826086956,46,2009-01-26,2009-12-14,322,0.14241486068111456,17,No
PRV51191,24,10190,424.5833333333333,23,2009-01-20,2009-12-27,341,0.07017543859649122,4,No
PRV51194,5,480,96.0,5,2009-02-11,2009-10-12,243,0.020491803278688523,80,No
PRV51196,565,147490,261.04424778761063,358,2008-12-28,2009-12-31,368,1.5311653116531165,0,No
PRV51198,3,220,73.33333333333333,2,2009-06-24,2009-12-11,170,0.017543859649122806,20,No
PRV51200,15,4050,270.0,13,2009-04-05,2009-12-19,258,0.05791505791505792,12,No
PRV51201,34,6620,194.7058823529412,31,2009-01-10,2009-12-31,355,0.09550561797752809,0,No
PRV51202,7,1870,267.14285714285717,7,2009-03-12,2009-11-18,251,0.027777777777777776,43,No
PRV51203,12,11890,990.8333333333334,12,2009-01-29,2009-12-26,331,0.03614457831325301,5,No
PRV51204,369,111970,303.44173441734415,316,2008-12-18,2009-12-30,377,0.9761904761904762,1,No
PRV51205,6,1180,196.66666666666666,6,2009-02-03,2009-12-25,325,0.018404907975460124,6,No
PRV51206,10,1560,156.0,10,2009-01-05,2009-12-28,357,0.027932960893854747,3,No
PRV51209,30,8990,299.6666666666667,27,2009-01-03,2009-12-19,350,0.08547008547008547,12,No
PRV51210,8,2830,353.75,8,2009-02-04,2009-12-06,305,0.026143790849673203,25,No
PRV51211,1,100,100.0,1,2009-04-18,2009-04-18,0,1.0,257,No
PRV51212,13,2760,212.30769230769232,13,2009-01-01,2009-11-14,317,0.040880503144654086,47,No
PRV51214,6,3100,516.6666666666666,6,2009-03-03,2009-12-14,286,0.020905923344947737,17,No
PRV51215,6,1210,201.66666666666666,6,2009-02-20,2009-10-24,246,0.024291497975708502,68,No
PRV51216,49,9860,201.22448979591837,46,2008-12-25,2009-12-31,371,0.13172043010752688,0,No
PRV51217,4,830,207.5,4,2009-03-04,2009-12-25,296,0.013468013468013467,6,No
PRV51218,6,500,83.33333333333333,6,2009-02-01,2009-10-09,250,0.02390438247011952,83,No
PRV51219,7,5030,718.5714285714286,7,2009-01-19,2009-07-14,176,0.03954802259887006,170,No
PRV51221,1,70,70.0,1,2009-03-11,2009-03-11,0,1.0,295,No
PRV51222,5,860,172.0,3,2009-07-23,2009-12-04,134,0.037037037037037035,27,No
PRV51224,6,3100,516.6666666666666,6,2009-01-19,2009-12-13,328,0.0182370820668693,18,No
PRV51225,6,790,131.66666666666666,6,2009-01-13,2009-12-02,323,0.018518518518518517,29,No
PRV51226,14,4940,352.85714285714283,13,2009-02-06,2009-12-04,301,0.046357615894039736,27,No
PRV51228,4,430,107.5,4,2009-02-03,2009-04-18,74,0.05333333333333334,257,No
PRV51229,39,11160,286.15384615384613,38,2009-01-02,2009-12-30,362,0.10743801652892562,1,No
PRV51230,22,9800,445.45454545454544,22,2009-01-05,2009-11-28,327,0.06707317073170732,33,No
PRV51240,36,8370,232.5,25,2009-01-17,2009-12-27,344,0.10434782608695652,4,No
PRV51241,37,10890,294.3243243243243,31,2009-01-01,2009-12-15,348,0.10601719197707736,16,No
PRV51242,66,24260,367.57575757575756,55,2009-01-06,2009-12-29,357,0.18435754189944134,2,Yes
PRV51243,26,3090,118.84615384615384,11,2009-01-09,2009-12-29,354,0.07323943661971831,2,No
PRV51244,932,240350,257.8862660944206,503,2008-12-29,2009-12-31,367,2.532608695652174,0,Yes
PRV51245,124,45070,363.46774193548384,46,2008-12-19,2009-12-31,377,0.328042328042328,0,No
PRV51247,18,1980,110.0,14,2009-01-17,2009-11-20,307,0.05844155844155844,41,No
PRV51248,1,500,500.0,1,2009-04-28,2009-04-28,0,1.0,247,No
PRV51249,53,13860,261.50943396226415,48,2008-12-31,2009-12-17,351,0.15056818181818182,14,Yes
PRV51250,71,15900,223.94366197183098,59,2009-01-03,2009-12-26,357,0.19832402234636873,5,No
PRV51251,10,3590,359.0,10,2009-01-12,2009-11-18,310,0.03215434083601286,43,No
PRV51252,51,10780,211.37254901960785,48,2009-01-10,2009-12-29,353,0.1440677966101695,2,No
PRV51253,69,13460,195.07246376811594,63,2009-01-06,2009-12-26,354,0.19436619718309858,5,No
PRV51255,58,26350,454.3103448275862,51,2009-02-04,2009-12-11,310,0.1864951768488746,20,No
PRV51256,70,20200,288.57142857142856,62,2008-12-19,2009-12-22,368,0.1897018970189702,9,No
PRV51258,5,1260,252.0,5,2009-02-18,2009-12-11,296,0.016835016835016835,20,No
PRV51259,14,1470,105.0,13,2009-03-22,2009-12-05,258,0.05405405405405406,26,No
PRV51260,42,13610,324.04761904761904,37,2009-01-10,2009-12-28,352,0.11898016997167139,3,No
PRV51261,89,13110,147.30337078651687,81,2009-01-01,2009-12-26,359,0.24722222222222223,5,No
PRV51262,46,11660,253.47826086956522,42,2009-01-05,2009-12-22,351,0.13068181818181818,9,No
PRV51263,20,7790,389.5,20,2009-01-21,2009-12-31,344,0.057971014492753624,0,Yes
PRV51264,31,4630,149.3548387096774,28,2008-12-12,2009-12-16,369,0.08378378378378379,15,No
PRV51265,122,36010,295.1639344262295,71,2009-01-05,2009-12-28,357,0.3407821229050279,3,No
PRV51266,63,17420,276.5079365079365,59,2009-01-02,2009-12-24,356,0.17647058823529413,7,No
PRV51267,10,3710,371.0,10,2009-01-25,2009-12-17,326,0.03058103975535168,14,No
PRV51271,94,22080,234.89361702127658,71,2009-01-03,2009-12-31,362,0.25895316804407714,0,No
PRV51272,59,17020,288.47457627118644,25,2009-01-08,2009-12-25,351,0.16761363636363635,6,No
PRV51273,418,98220,234.97607655502392,312,2009-01-01,2009-12-31,364,1.1452054794520548,0,No
PRV51274,34,8960,263.52941176470586,28,2009-01-13,2009-12-26,347,0.09770114942528736,5,No
PRV51276,39,13920,356.9230769230769,36,2009-01-25,2009-12-15,324,0.12,16,No
PRV51277,39,16360,419.4871794871795,38,2009-01-27,2009-12-27,334,0.11641791044776119,4,No
PRV51279,175,54580,311.8857142857143,150,2008-12-31,2009-12-24,358,0.48746518105849584,7,No
PRV51280,33,17320,524.8484848484849,29,2009-01-04,2009-12-22,352,0.09348441926345609,9,No
PRV51281,201,75520,375.7213930348259,164,2009-01-03,2009-12-30,361,0.5552486187845304,1,No
PRV51282,38,10790,283.94736842105266,34,2009-01-01,2009-12-23,356,0.10644257703081232,8,No
PRV51284,271,77290,285.2029520295203,186,2008-12-20,2009-12-31,376,0.7188328912466844,0,No
PRV51285,111,29450,265.31531531531533,73,2009-01-08,2009-12-30,356,0.31092436974789917,1,No
PRV51286,42,7050,167.85714285714286,39,2009-01-04,2009-12-25,355,0.11797752808988764,6,No
PRV51287,62,16650,268.5483870967742,40,2009-01-07,2009-12-24,351,0.17613636363636365,7,No
PRV51288,3,220,73.33333333333333,3,2008-12-31,2009-05-22,142,0.02097902097902098,223,No
PRV51289,67,26860,400.8955223880597,32,2008-12-18,2009-12-31,378,0.17678100263852242,0,No
PRV51290,91,13420,147.47252747252747,72,2008-12-24,2009-12-31,372,0.24396782841823056,0,No
PRV51292,20,3300,165.0,15,2009-01-13,2009-12-02,323,0.06172839506172839,29,No
PRV51293,71,17280,243.38028169014083,54,2009-01-03,2009-12-30,361,0.19613259668508287,1,No
PRV51295,6,1950,325.0,5,2009-02-01,2009-10-25,266,0.02247191011235955,67,No
PRV51296,22,5480,249.0909090909091,20,2009-01-30,2009-12-14,318,0.06896551724137931,17,No
PRV51297,48,17800,370.8333333333333,33,2009-01-07,2009-12-25,352,0.1359773371104816,6,No
PRV51298,75,28030,373.73333333333335,45,2008-12-18,2009-12-26,373,0.20053475935828877,5,No
PRV51299,27,5320,197.03703703703704,21,2009-01-20,2009-12-26,340,0.07917888563049853,5,No
PRV51300,36,14120,392.22222222222223,25,2009-01-08,2009-12-02,328,0.1094224924012158,29,No
PRV51301,77,24170,313.8961038961039,49,2009-01-03,2009-12-29,360,0.21329639889196675,2,No
PRV51302,26,4260,163.84615384615384,19,2009-01-01,2009-12-14,347,0.07471264367816093,17,No
PRV51303,75,31440,419.2,41,2009-01-02,2009-12-31,363,0.20604395604395603,0,No
PRV51304,38,10230,269.2105263157895,30,2009-01-09,2009-12-29,354,0.10704225352112676,2,No
PRV51305,31,14670,473.2258064516129,18,2009-01-06,2009-12-26,354,0.08732394366197183,5,No
PRV51306,9,2100,233.33333333333334,8,2009-02-06,2009-12-31,328,0.02735562310030395,0,No
PRV51307,26,6330,243.46153846153845,17,2009-01-08,2009-12-28,354,0.07323943661971831,3,No
PRV51308,27,11720,434.0740740740741,25,2009-01-02,2009-12-28,360,0.07479224376731301,3,No
PRV51309,16,3670,229.375,15,2009-01-21,2009-12-19,332,0.04804804804804805,12,No
PRV51311,17,2810,165.2941176470588,14,2008-12-12,2009-11-30,353,0.0480225988700565,31,No
PRV51312,29,5410,186.55172413793105,22,2009-01-02,2009-12-28,360,0.08033240997229917,3,No
PRV51313,15,3370,224.66666666666666,13,2009-01-28,2009-12-03,309,0.04838709677419355,28,No
PRV51314,19,4600,242.10526315789474,13,2009-01-25,2009-12-21,330,0.05740181268882175,10,No
PRV51315,34,6040,177.64705882352942,15,2009-01-31,2009-12-04,307,0.11038961038961038,27,No
PRV51322,9,790,87.77777777777777,8,2009-02-16,2009-10-11,237,0.037815126050420166,81,No
PRV51323,57,17920,314.3859649122807,27,2009-01-21,2009-12-31,344,0.16521739130434782,0,No
PRV51324,24,9220,384.1666666666667,21,2009-01-08,2009-12-29,355,0.06741573033707865,2,No
PRV51325,9,4200,466.6666666666667,5,2009-04-11,2009-12-31,264,0.033962264150943396,0,No
PRV51326,31,9950,320.96774193548384,18,2009-01-02,2009-12-30,362,0.08539944903581267,1,No
PRV51327,35,7850,224.28571428571428,23,2009-01-01,2009-12-31,364,0.0958904109589041,0,No
PRV51328,6,550,91.66666666666667,5,2009-01-30,2009-12-17,321,0.018633540372670808,14,No
PRV51329,57,15000,263.1578947368421,26,2009-01-01,2009-12-19,352,0.16147308781869688,12,No
PRV51330,12,2940,245.0,7,2009-01-28,2009-11-11,287,0.041666666666666664,50,No
PRV51331,5,320,64.0,4,2009-05-08,2009-10-09,154,0.03225806451612903,83,No
PRV51335,115,35520,308.8695652173913,83,2009-01-08,2009-12-22,348,0.32951289398280803,9,No
PRV51336,41,5300,129.26829268292684,41,2009-01-01,2009-12-30,363,0.11263736263736264,1,No
PRV51337,102,23270,228.13725490196077,97,2008-12-31,2009-12-29,363,0.2802197802197802,2,Yes
PRV51338,92,33890,368.3695652173913,91,2009-01-08,2009-12-31,357,0.2569832402234637,0,Yes
PRV51340,108,34350,318.05555555555554,102,2008-12-31,2009-12-30,364,0.2958904109589041,1,No
PRV51341,47,11110,236.38297872340425,47,2009-01-01,2009-12-25,358,0.1309192200557103,6,No
PRV51342,132,28160,213.33333333333334,116,2009-01-03,2009-12-29,360,0.3656509695290859,2,No
PRV51344,24,4970,207.08333333333334,24,2009-01-03,2009-12-15,346,0.069164265129683,16,No
PRV51345,37,9490,256.4864864864865,36,2008-12-26,2009-12-29,368,0.1002710027100271,2,No
PRV51346,192,47690,248.38541666666666,183,2008-12-23,2009-12-28,370,0.5175202156334232,3,No
PRV51347,1585,448640,283.05362776025237,824,2008-12-19,2009-12-31,377,4.193121693121693,0,Yes
PRV51348,24,5450,227.08333333333334,24,2009-01-14,2009-11-05,295,0.08108108108108109,56,No
PRV51349,16,1900,118.75,15,2009-01-01,2009-11-11,314,0.050793650793650794,50,No
PRV51350,171,60270,352.4561403508772,169,2008-12-15,2009-12-30,380,0.44881889763779526,1,No
PRV51351,23,8350,363.04347826086956,23,2009-01-30,2009-12-25,329,0.0696969696969697,6,No
PRV51352,2,3000,1500.0,2,2009-01-03,2009-01-06,3,0.5,359,No
PRV51353,12,1180,98.33333333333333,11,2009-01-25,2009-11-18,297,0.040268456375838924,43,No
PRV51354,2,240,120.0,2,2009-01-09,2009-11-05,300,0.006644518272425249,56,No
PRV51355,44,8780,199.54545454545453,42,2008-12-23,2009-11-12,324,0.13538461538461538,49,No
PRV51356,61,19270,315.9016393442623,59,2008-12-18,2009-12-18,365,0.16666666666666666,13,No
PRV51357,121,31660,261.6528925619835,111,2008-12-22,2009-12-30,373,0.3235294117647059,1,Yes
PRV51358,7,1090,155.71428571428572,7,2009-01-09,2009-12-28,353,0.01977401129943503,3,No
PRV51360,13,4790,368.46153846153845,13,2009-01-10,2009-11-10,304,0.04262295081967213,51,No
PRV51361,21,7300,347.6190476190476,21,2009-01-25,2009-12-24,333,0.06287425149700598,7,No
PRV51362,27,7000,259.25925925925924,27,2009-01-14,2009-12-26,346,0.07780979827089338,5,No
PRV51363,3,150,50.0,3,2009-05-29,2009-10-20,144,0.020689655172413793,72,No
PRV51364,15,3730,248.66666666666666,15,2009-01-25,2009-11-25,304,0.04918032786885246,36,No
PRV51366,43,11510,267.6744186046512,41,2008-12-20,2009-12-09,354,0.12112676056338029,22,No
PRV51368,3,520,173.33333333333334,3,2009-01-31,2009-12-01,304,0.009836065573770493,30,No
PRV51369,1561,469620,300.8456117873158,821,2008-12-16,2009-12-31,380,4.097112860892389,0,Yes
PRV51371,27,8470,313.7037037037037,27,2009-01-07,2009-12-31,358,0.07520891364902507,0,No
PRV51376,36,13370,371.3888888888889,35,2009-01-02,2009-12-15,347,0.10344827586206896,16,No
PRV51377,69,19130,277.2463768115942,69,2009-01-02,2009-12-24,356,0.19327731092436976,7,No
PRV51378,43,9280,215.8139534883721,43,2009-01-10,2009-12-04,328,0.13069908814589665,27,Yes
PRV51379,16,6290,393.125,16,2009-02-05,2009-12-28,326,0.04892966360856269,3,No
PRV51380,3,520,173.33333333333334,3,2009-02-04,2009-07-31,177,0.016853932584269662,153,No
PRV51382,12,1130,94.16666666666667,12,2009-01-09,2009-12-03,328,0.0364741641337386,28,No
PRV51383,52,15740,302.6923076923077,52,2008-12-24,2009-12-20,361,0.143646408839779,11,No
PRV51386,289,68590,237.3356401384083,222,2008-12-27,2009-12-31,369,0.7810810810810811,0,No
PRV51387,36,16450,456.94444444444446,32,2009-01-01,2009-12-11,344,0.10434782608695652,20,No
PRV51388,57,22190,389.29824561403507,56,2008-12-14,2009-12-14,365,0.1557377049180328,17,No
PRV51389,49,13270,270.81632653061223,49,2008-12-20,2009-12-21,366,0.1335149863760218,10,No
PRV51390,84,21300,253.57142857142858,80,2009-01-19,2009-12-29,344,0.24347826086956523,2,Yes
PRV51391,128,51530,402.578125,120,2008-12-14,2009-12-31,382,0.3342036553524804,0,No
PRV51392,14,1560,111.42857142857143,12,2008-12-25,2009-11-11,321,0.043478260869565216,50,No
